cnpj,cgf,razaoSocial,regime,cadastro_dominio
21977156000105,64431100,EXTINFOGO COMERCIO E MANUTENCAO DE MATERIAIS CONTRA INCENDIO,MICROEMPRESA,764
03175564000234,72733063,F J MELO MATERIAL DE CONSTRUCAO LTDA,NORMAL,838
21961710000158,66380944,COLEGIO SONHO MEU LTDA,OUTROS,353
50623645000230,71323210,JOLIE-CE COMECIO DE CALCADOS LTDA,NORMAL,467
44788518000107,70379718,LOUCA DAS UNHAS COMERCIO VAREJISTA DE COSMETICO LTDA,MICROEMPRESA,424
41550666000362,70801126,MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA,NORMAL,864
21687680000133,64432564,MERCADINHO NAIARA XIMENES COMERCIAL LTDA,MICROEMPRESA,734
41119997000180,61797910,CARIOCA INFOCELL LTDA,MICROEMPRESA,145
21271872000164,64160246,R M COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,621
10793168000155,64073351,ABC DOS EXTINTORES COMÉRCIO E MANUTENÇÃO DE MATERIAIS CONTRA,MICROEMPRESA,772
39746199000137,62407872,CLAUDIANA T. SILVA,MICROEMPRESA,228
38462358000109,61745375,CARLOS H. M. SOUSA,MICROEMPRESA,549
20934708000127,64288196,ARVOREDO VISION COMÉRCIO DE ARTIGOS ÓPTICOS LTDA. - ME,MICROEMPRESA,262
20934644000164,63547627,RIO MAR VISION COMÉRCIO DE ARTIGOS OPTICOS LTDA.- ME,OUTROS,254
10460692000104,63709899,M S COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,618
37823312000105,61206466,O F BRASIL NETO ARTESANAIS LTDA,MICROEMPRESA,219
37780974000145,61448419,TPX INDUSTRIA DE CADEIRAS E MOVEIS PARA ESCRITORIO LTDA,MICROEMPRESA,524
37619014000106,63121476,MR GREGO COMERCIO DE ALIMENTOS LTDA,MICROEMPRESA,303
08571105000102,62054317,HENRIQUE SOUSA CAETANO LTDA,MICROEMPRESA,277
01639337000106,69821313,SABOR DOCES e SALGADOS LTDA,NORMAL,40
02908742000307,61337420,NUTRICAO COMERCIO E SERVICOS LTDA,NORMAL,332
20951181000572,61250996,ADE COMERCIO DE CALCADOS LTDA,NORMAL,486
23486871000162,66187150,FRANCISCO EVANILDO LIMA DA SILVA ME,NORMAL,21
02301602000104,69974195,NATAN DISTRIBUIDORA LTDA-ME,NORMAL,134
12981026000309,70393095,MERCANTIL SUPER CUMBUCO LTDA,NORMAL,158
10418062000171,63293145,TA BONITO DISTRIBUIDORA DE FEIJAO VERDE LTDA,OUTROS,136
09541349000105,63669889,A.S. BESERRA COMERCIO DE ARTIGOS ÓPTICOS LTDA EPP,EPP,253
06538544000198,66943221,JIMMY CARLOS N DE SOUSA ME,EPP,48
37404301000190,62815148,ReM FABRICACAO E COMERCIO DE COOKIES LTDA,MICROEMPRESA,334
36884241000198,62506986,J A DE SOUSA FILHO SERVICOS AUTOMOTIVOS,MICROEMPRESA,188
09237792000197,63568799,COMERCIAL DE MEDICAMENTO ITAPERY LTDA,MICROEMPRESA,38
08994871000180,63658887,BESERRA & SILVA COMERCIO DE OCULOS LTDA,EPP,610
34292467000174,69910626,VILA ACAI BM LTDA,MICROEMPRESA,43
33819548000117,69484929,CAMILA DOCE IDEIA LTDA,MICROEMPRESA,371
17305484000180,66251443,C E J MODA PRAIA LTDA,MICROEMPRESA,54
16981259000109,66182379,FINOCELL MARA LTDA,MICROEMPRESA,706
01855109000173,71925945,MARIA GONCALVES DA SILVA MACIEIRA - ME,MICROEMPRESA,352
16610437000187,66135567,CAUCAIAVISION COMERCIO DE ARTIGOS OPTICOS LTDA. - ME,MICROEMPRESA,259
33327582000174,69346739,AHAZZI ACESSORIOS E BIJUTERIAS LTDA,MICROEMPRESA,208
16563693000160,66105277,TIANGUA COMERCIO E MANUTENCAO DE MATERIAIS CONTRA INCENDIOS,MICROEMPRESA,763
32836396000106,69286043,"A SILVA LOCACAO, SERVICOS E COMERCIO DE PECAS MOTOCICLETAS L",MICROEMPRESA,521
15024264000152,65929217,ITALO J B BARROS,MICROEMPRESA,61
32486238000165,67964524,32.486.238 ANA CAROLINA GONCALVES BARROS,MEI,116
32262716000153,67923909,C. M. DA COSTA ARTIGOS PARA BEBE,MICROEMPRESA,586
32202914000121,67914357,KRONUS VARIEDADES LTDA,MICROEMPRESA,709
32176867000199,67911218,FINOCELL COMERCIO DE ELETRONICOS IMPORTADOS LTDA,OUTROS,708
32081521000107,69682992,INDUSTRIA DE AGUA BOM JESUS LTDA,NORMAL,658
14140817000170,65722914,C GOMES DA SILVA MOVEIS,MICROEMPRESA,86
31503175000145,67801536,FRANCISCO SAMUEL DO NASCIMENTO PINTO,MEI,647
31296366000183,63451387,F M BEVILAQUA ARTE E CULTURA,MICROEMPRESA,743
31037960000150,67721044,FM REPRESENTACOES E CONSULTORIA LTDA,OUTROS,415
08266225000104,62026968,F R V COMERCIO DE ARTIGOS OPTICOS LTDA,MICROEMPRESA,260
31037960000150,67721044,FM REPRESENTACOES E CONSULTORIA LTDA,OUTROS,415
08266225000104,62026968,F R V COMERCIO DE ARTIGOS OPTICOS LTDA,MICROEMPRESA,260
